,APELLIDOS Y NOMBRE,BANCADA,REGIÓN,SEDE,Nº CASO,ACTUALIZACIÓN,SITUACIÓN,DELITO
227,"ACUÑA PERALTA, HUMBERTO",APP,LAMBAYEQUE,2 FISCALIA SUPERIOR PENAL DE APELACIONES DE LAMBAYEQUE,02406074502-2014-0006710000,2017-06-07,DENUNCIA PENDIENTE,DELITO CONTRA LA ADMINISTRACION PUBLICA
228,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,FISCALIA PROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS-LORETO,02506015500-2017-0001070000,2017-06-06,CON INVESTIGACION PRELIMINAR,PECULADO (APROPIACION O UTILIZACION CULPOSA DE CAUDALES DESTINADOS A ASISTENCIA SOCIAL)
229,"MERINO LOPEZ, OMAR",APP,APURÍMAC,1 FISCALIA PROVINCIAL PENAL CORPORATIVA DE ABANCAY,01406014501-2015-0008990001,2017-06-06,CON ARCHIVO (PRELIMINAR),"USURPACION DE AUTORIDAD, TITULOS Y HONORES (USURPACION DE FUNCION PUBLICA O DE AUTORIDAD MILITAR O POLICIAL AGRAVADA POR RESISTENCI…"
230,"MERINO LOPEZ, OMAR",APP,APURÍMAC,1 FISCALIA PROVINCIAL PENAL CORPORATIVA DE ABANCAY,01406014501-2015-0008990000,2017-06-06,CON ARCHIVO (PRELIMINAR),"USURPACION DE AUTORIDAD, TITULOS Y HONORES (USURPACION DE FUNCION PUBLICA O DE AUTORIDAD MILITAR O POLICIAL AGRAVADA POR RESISTENCI"
231,"GONZALES TUANAMA, CÉSAR",SOMOS PERÚ,UCAYALI,2 FISCALIA SUPERIOR PENAL UCAYALI,03006014504-2012-0001360003,2017-06-05,AUDIENCIA DE APELACION,"USURPACION DE AUTORIDAD, TITULOS Y HONORES (USO ILICITO DE INSIGGRADETC)"
232,"VALDEZ FARÍAS, LUIS ALBERTO",APP,LA LIBERTAD,3 FISCALIA PROVINCIAL PENAL CORPORATIVA DE TRUJILLO,02306014504-2016-0002720000,2017-06-03,CON ARCHIVO (PRELIMINAR),ABUSO DE AUTORIDAD
233,"PÉREZ MIMBELA, JHOSEPT AMADO",APP,ANCASH,1 FISCALIA PROVINCIAL PENAL CORPORATIVA DE CASMA ,03106024501-2017-0003730000,2017-06-01,DENUNCIA PENDIENTE,"DELITO DE PELIGRO COMUN (CONDUCCION, OPERACION O MANIOBRA DE VEHICULO MOTORIZADO EN ESTADO DE EBRIEDAD O DROGADICC"
234,"PUÑO LECARNAQUE, NAPOLEÓN",APP,TUMBES,1 FISCALIA PROVINCIAL PENAL CORPORATIVA DE TUMBES,03506014501-2016-0024720000,2017-06-01,CON INVESTIGACION PRELIMINAR,ABUSO DE AUTORIDAD
235,"DIOSES GUZMÁN, LUIS REYMUNDO",SOMOS PERÚ,PIURA,2 FISCALIA PROVINCIAL PENAL CORPORATIVA DE PAITA,02606054502-2016-0002320000,2017-05-30,CON INVESTIGACION PRELIMINAR,ABUSO DE AUTORIDAD
236,"CHAIÑA CONTRERAS, HIPÓLITO",UPP,AREQUIPA,1 FISCALIA PROVINCIAL PENAL CORPORATIVA DE AREQUIPA,01506014501-2016-0076060000,2017-05-29,CON ARCHIVO (PRELIMINAR),USURPACION (AGENTE CON VIOLENCIA O AMENAZA
237,"ACUÑA PERALTA, HUMBERTO",APP,LAMBAYEQUE,2 FISCALIA PROVINCIAL PENAL CORPORATIVA DE CHICLAYO,02406074502-2017-0016360000,2017-05-29,CON ARCHIVO (CALIFICA),CONTRA LA PAZ PUBLICA (ASOCIACION ILICITA)
238,"ACUÑA PERALTA, HUMBERTO",APP,LAMBAYEQUE,2 FISCALIA SUPERIOR PENAL DE APELACIONES DE LAMBAYEQUE,02406074502-2010-0020600003,2017-05-26,AUDIENCIA DE APELACION,CONTRA EL PATRIMONIO
239,"MESÍA RAMIREZ, CARLOS FERNANDO",FUERZA POPULAR,LIMA,3 FISCALIA PROVINCIAL PENAL DE SAN JUAN DE MIRAFLORES,00706030103-2017-0004720000,2017-05-26,INVESTIGACION POLICIAL,CONTRA LA FUNCION JURISDICCIONAL (FRAUDE PROCESAL)
240,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,FISCALIA ESPECIALIZADA EN MATERIA AMBIENTAL DE LORETO - MAYNAS ,02506015200-2016-0001330000,2017-05-24,FORMALIZA INVESTIGACION PREPARATORIA,RESPONSABILIDAD DE FUNCIONARIO PUBLICO POR OTORGAMIENTO ILEGAL DERECHOS - CULPOSO
241,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,8 FISCALIA PROVINCIAL PENAL CORPORATIVA DE MAYNAS ,02506014508-2017-0000500000,2017-05-19,FORMALIZA INVESTIGACION PREPARATORIA,ABUSO DE AUTORIDAD (ACEPTAR NOMBRAMIENTO ILEGAL)
242,"VALDEZ FARÍAS, LUIS ALBERTO",APP,LA LIBERTAD,FISCALIA PROVINCIAL MIXTA CORPORATIVA DE LA ESPERANZA,02306014503-2017-0016680000,2017-05-18,DENUNCIA PENDIENTE,USURPACION (AGENTE CON VIOLENCIA
243,"ACUÑA PERALTA, HUMBERTO",APP,LAMBAYEQUE,1 FISCALIA PROVINCIAL PENAL CORPORATIVA DE CHICLAYO,02406074501-2012-0033190000,2017-05-18,CON ARCHIVO (PRELIMINAR),DELITO CONTRA LA ADMINISTRACION PUBLICA
244,"VALDEZ FARÍAS, LUIS ALBERTO",APP,LA LIBERTAD,1 FISCALIA PROVINCIAL PENAL CORPORATIVA DE TRUJILLO,02306014504-2014-0000110000,2017-05-17,CON PRINCIPIO OPORTUNIDAD (INTERMEDIA),CONTRA LA FE PUBLICA (FALSIFICACION DOCUMENTARIA)
245,"PUÑO LECARNAQUE, NAPOLEÓN",APP,TUMBES,FISCALIA PROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS DE TUMBES,03506015500-2015-0000110000,2017-05-17,CON ACUSACION,CONCUSION (COLUSION ILEGAL)
246,"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,AREQUIPA,42 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506010142-2017-0002430000,2017-05-16,INVESTIGACION FISCAL,EXPOSICION A PERSONA EN PELIGRO (EXPOSICION A PELIGRO DE MUERTE O GRAVE DAÑO A LA SALUD
247,"MESÍA RAMIREZ, CARLOS FERNANDO",FUERZA POPULAR,LIMA,41 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506010141-2017-0003710000,2017-05-15,INVESTIGACION POLICIAL,CONTRA LA FUNCION JURISDICCIONAL (FRAUDE PROCESAL)
248,"PÉREZ MIMBELA, JHOSEPT AMADO",APP,ANCASH,2 FISCALIA PROVINCIAL PENAL CORPORATIVA DE CASMA ,03106024502-2016-0004050000,2017-05-15,DERIVADO (PRELIMINAR),ABUSO DE AUTORIDAD
249,"ALIAGA PAJARES, GUILLERMO ALEJANDRO ANTONIO",SOMOS PERÚ,LIMA,FISCALIA PROVINCIAL ESPECIALIZADA EN MATERIA AMBIENTAL - SEDE HUARI,01306095200-2017-0000630000,2017-05-15,EN INVESTIGACION PREVENTIVA,CONTAMINACION (DELITO DE MINERIA ILEGAL)
250,"ALIAGA PAJARES, GUILLERMO ALEJANDRO ANTONIO",SOMOS PERÚ,LIMA,FISCALIA PROVINCIAL ESPECIALIZADA EN MATERIA AMBIENTAL - SEDE HUARI,01306095200-2017-0000640000,2017-05-15,EN INVESTIGACION PREVENTIVA,CONTAMINACION (DELITO DE MINERIA ILEGAL)
251,"ACATE CORONEL, EDUARDO GEOVANNI",APP,LORETO,FISCALIA PROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS-LORETO,02506015500-2016-0000270000,2017-05-15,CON ARCHIVO (PRELIMINAR),CONCUSION (COLUSION SIMPLE)
252,"ALIAGA PAJARES, GUILLERMO ALEJANDRO ANTONIO",SOMOS PERÚ,LIMA,FISCALIA PROVINCIAL ESPECIALIZADA EN MATERIA AMBIENTAL - SEDE HUARI,01306095200-2017-0000650000,2017-05-15,EN INVESTIGACION PREVENTIVA,CONTAMINACION (DELITO DE MINERIA ILEGAL)
253,"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,AREQUIPA,5 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506010105-2017-0003840000,2017-05-12,DENUNCIA PENDIENTE,ABUSO DE AUTORIDAD
254,"ALIAGA PAJARES, GUILLERMO ALEJANDRO ANTONIO",SOMOS PERÚ,LIMA,FISCALIA PROVINCIAL ESPECIALIZADA EN PREVENCION DEL DELITO DE ANCASH,01306014900-2017-0002590000,2017-05-11,DERIVADO PENAL,CONTRA LOS RECURSOS NATURALES Y MEDIO AMBIENTE (COMERCALMACENDESECHOS)
255,"BENAVIDES GAVIDIA, WALTER",APP,CAJAMARCA,FISCALIA PROVINCIAL ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS-CAJAMARCA,01706045500-2017-0001080000,2017-05-08,DERIVADO (CALIFICA),PECULADO (APROPIACION O UTILIZACION CULPOSA DE CAUDALES DESTINADOS A ASISTENCIA SOCIAL)
256,"ALIAGA PAJARES, GUILLERMO ALEJANDRO ANTONIO",SOMOS PERÚ,LIMA,FISCALIA PROVINCIAL PENAL DE RECUAY,01306154500-2017-0001490000,2017-05-06,CON ARCHIVO (CALIFICA),VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (DESOBYRESISTAORDENOFICIAL)
257,"SANTILLANA PAREDES, ROBERTINA",APP,SAN MARTÍN,1 FISCALIA PROVINCIAL PENAL CORPORATIVA DE LEONCIO PRADO ,02006064501-2016-0011180000,2017-05-04,CON ARCHIVO (PRELIMINAR),ESTAFA Y OTRAS DEFRAUDACIONES
258,"VALDEZ FARÍAS, LUIS ALBERTO",APP,LA LIBERTAD,3 FISCALIA PROVINCIAL PENAL CORPORATIVA DE TRUJILLO,02306014504-2016-0027380000,2017-05-03,CON ARCHIVO (PRELIMINAR),ABUSO DE AUTORIDAD
259,"VALDEZ FARÍAS, LUIS ALBERTO",APP,LA LIBERTAD,2 FISCALIA PROVINCIAL PENAL CORPORATIVA DE TRUJILLO,02306014502-2017-0023500000,2017-05-02,CON INVESTIGACION PRELIMINAR,EXPOSICION A PERSONA EN PELIGRO (EXPONE A PELIGRO VIDA O SALUD DE PERSONA BAJO SU AUTORIDAD
260,"TITO ORTEGA, ERWIN",FUERZA POPULAR,JUNÍN,2 FISCALIA PROVINCIAL EN LO PENAL DEL CALLAO,00906010113-2015-0000880000,2017-05-02,CON DICTAMEN,CONTRA LA FE PUBLICA (FALSIFICACION DOCUMENTARIA)
261,"CONTRERAS BAUTISTA, CINDY ARLETTE",NO AGRUPADO,LIMA,4 FISCALIA SUPERIOR PENAL DE AYACUCHO,01606014502-2016-0001240002,2017-04-27,AUDIENCIA DE APELACION,CONTRA LA FE PUBLICA (DOCUMENTO PUBLICO REGISTRO PUBLICO TITULO AUTENTICO O CUALQUIER OTRO TRANSMISIBLE POR E
262,"GONZALES TUANAMA, CÉSAR",SOMOS PERÚ,UCAYALI,4 FISCALIA PROVINCIAL PENAL CORPORATIVA DE CORONEL PORTILLO,03006014504-2017-0006920000,2017-04-26,CON INVESTIGACION PRELIMINAR,OMISION DE ASISTENCIA FAMILIAR (INCUMPLIMOBLIGALIMENTARIA)
263,"ACUÑA PERALTA, HUMBERTO",APP,LAMBAYEQUE,FISCALIA PROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS DE LAMBAYEQUE,02406075500-2017-0001270000,2017-04-26,CON ARCHIVO (CALIFICA),DELITO CONTRA LA ADMINISTRACION PUBLICA
264,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,5 FISCALIA PROVINCIAL PENAL CORPORATIVA DE MAYNAS ,02506014505-2017-0006140000,2017-04-25,CON INVESTIGACION PRELIMINAR,VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (OCULTAMIENTO DE PRUEBAS)
265,"ACUÑA PERALTA, HUMBERTO",APP,LAMBAYEQUE,2 FISCALIA PROVINCIAL PENAL CORPORATIVA DE JOSE L. ORTIZ,02406084502-2017-0005050000,2017-04-24,CON INVESTIGACION PRELIMINAR,OMISION ACTOS FUNCIONALES-1ERPARRAFO - FUNCIONARIO PUBLICO QUE
266,"PANTOJA CALVO, RUBEN",UPP,CUSCO,FISCALIA PROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS DE CUSCO,01806115500-2017-0001000000,2017-04-24,DENUNCIA PENDIENTE,CONCUSION (COLUSION CON DEFRAUDACION PATRIMONIAL AL ESTADO)
267,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,5 FISCALIA PROVINCIAL PENAL CORPORATIVA DE MAYNAS ,02506014505-2017-0000030000,2017-04-24,CON INVESTIGACION PRELIMINAR,VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (RESISTENCIA O DESOBEDIENCIA A LA AUTORIDAD)
268,"CHAIÑA CONTRERAS, HIPÓLITO",UPP,AREQUIPA,3 FISCALIA PROVINCIAL PENAL CORPORATIVA DE AREQUIPA,01506014503-2016-0059030000,2017-04-21,CON ARCHIVO (PRELIMINAR),USURPACION
269,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,5 FISCALIA PROVINCIAL PENAL CORPORATIVA DE MAYNAS ,02506014505-2017-0006660000,2017-04-21,CON INVESTIGACION PRELIMINAR,PECULADO (DEMORA INDEBIDA DE PAGOS)
270,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,FISCALIA SUPERIOR ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS DE LORETO,02506015500-2017-0000810001,2017-04-18,RESUELVE EXCLUSION FISCAL,CONCUSION (COLUSION SIMPLE)
271,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,1 FISCALIA PROVINCIAL DE PREVENCION DEL DELITO DE LORETO ,02506014901-2017-0000580000,2017-04-18,DERIVADO PENAL,CONTRA LA VIDA/EL CUERPO Y LA SALUD
272,"VALDEZ FARÍAS, LUIS ALBERTO",APP,LA LIBERTAD,FISCALIA PROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS - LA LIBERTAD,02306015500-2016-0001350000,2017-04-17,FORMALIZA INVESTIGACION PREPARATORIA,DELITO CONTRA LA ADMINISTRACION PUBLICA
273,"VALDEZ FARÍAS, LUIS ALBERTO",APP,LA LIBERTAD,1 FISCALIA SUPERIOR PENAL DE LA LIBERTAD,02306014504-2016-0002720001,2017-04-12,RESUELVE EXCLUSION FISCAL,ABUSO DE AUTORIDAD
274,"VALDEZ FARÍAS, LUIS ALBERTO",APP,LA LIBERTAD,3 FISCALIA PROVINCIAL PENAL CORPORATIVA DE TRUJILLO,02306014504-2015-0058870000,2017-04-12,CON ARCHIVO (PRELIMINAR),ABUSO DE AUTORIDAD
275,"BENAVIDES GAVIDIA, WALTER",APP,CAJAMARCA,1 FISCALIA PROVINCIAL PENAL CORPORATIVA DE CUTERVO,02406024501-2014-0004480000,2017-04-12,EN AUDIENCIA,CONCUSION (COLUSION ILEGAL)
276,"URRESTI ELERA, DANIEL BELIZARIO",PODEMOS,LIMA,2 FISCALIA PROVINCIAL PENAL CORPORATIVA DE TAMBOPATA,03606014502-2015-0000720000,2017-04-06,CON INVESTIGACION PRELIMINAR,FRAUDE EN LA ADMINISTRACION DE PERSONA JURIDICA (OCULTVERDADERASITUACION)
277,"ACUÑA PERALTA, HUMBERTO",APP,LAMBAYEQUE,2 FISCALIA PROVINCIAL PENAL CORPORATIVA DE CHICLAYO,02406074502-2010-0020600000,2017-04-06,CON SENTENCIA,CONTRA EL PATRIMONIO
278,"VALDEZ FARÍAS, LUIS ALBERTO",APP,LA LIBERTAD,3 FISCALIA PROVINCIAL PENAL CORPORATIVA DE TRUJILLO,02306014504-2016-0051110000,2017-04-04,FORMALIZA INVESTIGACION PREPARATORIA,ABUSO DE AUTORIDAD
279,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,FISCALIA PROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS-LORETO,02506015500-2017-0000920000,2017-04-03,CON INVESTIGACION PRELIMINAR,PECULADO - MALVERSACION (SI EL DINERO O BIENES CORRESPONDEN A PROGRAMAS DE APOYO SOCIAL)
280,"VÁSQUEZ TAN, GRIMALDO",SOMOS PERÚ,AMAZONAS,FISCALIA PROVINCIAL PENAL ESPECIALIZADA EN MATERIA AMBIENTAL- CHACHAPOYAS,01206015200-2013-0001850000,2017-03-29,CON SENTENCIA,CONTAMINACION DEL AMBIENTE
281,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,4 FISCALIA SUPERIOR PENAL DE LORETO ,02506014504-2016-0003420002,2017-03-29,RESUELVE EXCLUSION FISCAL,ABUSO DE AUTORIDAD
282,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,FISCALIA PROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS-LORETO,02506015500-2017-0000810000,2017-03-28,CON INVESTIGACION PRELIMINAR,CORRUPCION DE FUNCIONARIOS (NEGOCIACION INCOMPATIBLE O APROVECHAMIENTO INDEBIDO DE CARGO)
283,"ACUÑA PERALTA, HUMBERTO",APP,LAMBAYEQUE,1 FISCALIA PROVINCIAL PENAL CORPORATIVA DE LAMBAYEQUE,02406054501-2015-0006270000,2017-03-27,CON INVESTIGACION PRELIMINAR,ABUSO DE AUTORIDAD
284,"ACUÑA PERALTA, HUMBERTO",APP,LAMBAYEQUE,2 FISCALIA PROVINCIAL PENAL CORPORATIVA DE CHICLAYO,02406074502-2014-0021090000,2017-03-23,CON ARCHIVO (PRELIMINAR),CONTRA LA PAZ PUBLICA (ASOCIACION ILICITA)
285,"ACUÑA PERALTA, HUMBERTO",APP,LAMBAYEQUE,FISCALIA CORPORATIVA DE PREVENCION DEL DELITO DE LAMBAYEQUE,02406074504-2017-0000620000,2017-03-23,CON ARCHIVO DEFINITIVO (INV. PREVEN.),CONTRA LA TRANQUILIDAD PUBLICA
286,"GONZALEZ CRUZ, MOISES",APP,CAJAMARCA,FISCALIA PROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS DE LAMBAYEQUE,02406075500-2015-0002820002,2017-03-16,CON ARCHIVO (PRELIMINAR),DELITO CONTRA LA ADMINISTRACION PUBLICA
287,"GONZALEZ CRUZ, MOISES",APP,CAJAMARCA,FISCALIA PROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS DE LAMBAYEQUE,02406075500-2016-0001580000,2017-03-14,CON RESERVA PROVISIONAL (PRELIMINAR),DELITO CONTRA LA ADMINISTRACION PUBLICA
288,"GONZALEZ CRUZ, MOISES",APP,CAJAMARCA,FISCALIA PROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS DE LAMBAYEQUE,02406075500-2016-0001570000,2017-03-14,CON RESERVA PROVISIONAL (PRELIMINAR),DELITO CONTRA LA ADMINISTRACION PUBLICA
289,"GONZALEZ CRUZ, MOISES",APP,CAJAMARCA,FISCALIA PROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS DE LAMBAYEQUE,02406075500-2016-0001630000,2017-03-14,CON RESERVA PROVISIONAL (PRELIMINAR),DELITO CONTRA LA ADMINISTRACION PUBLICA
290,"GONZALEZ CRUZ, MOISES",APP,CAJAMARCA,FISCALIA PROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS DE LAMBAYEQUE,02406075500-2016-0001590000,2017-03-14,CON RESERVA PROVISIONAL (PRELIMINAR),DELITO CONTRA LA ADMINISTRACION PUBLICA
291,"GONZALEZ CRUZ, MOISES",APP,CAJAMARCA,FISCALIA PROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS DE LAMBAYEQUE,02406075500-2015-0002820001,2017-03-10,CON ARCHIVO (CALIFICA),DELITO CONTRA LA ADMINISTRACION PUBLICA
292,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,FISCALIA ESPECIALIZADA EN MATERIA AMBIENTAL DE LORETO - MAYNAS ,02506015200-2017-0000060000,2017-03-10,CON RESERVA PROVISIONAL (PRELIMINAR),RESPONSABILIDAD DE FUNCIONARIO PUBLICO POR OTORGAMIENTO ILEGAL DERECHOS - CULPOSO
293,"PÉREZ MIMBELA, JHOSEPT AMADO",APP,ANCASH,1 FISCALIA PROVINCIAL PENAL CORPORATIVA DE CASMA ,03106024501-2015-0002510000,2017-03-08,CON ARCHIVO (PRELIMINAR),CONTRA LA FUNCION JURISDICCIONAL (OMISION DE DENUNCIA)
294,"VALDEZ FARÍAS, LUIS ALBERTO",APP,LA LIBERTAD,FISCALIA PROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS - LA LIBERTAD,02306015500-2016-0002680000,2017-03-07,CON ARCHIVO (PRELIMINAR),DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS
295,"DIOSES GUZMÁN, LUIS REYMUNDO",SOMOS PERÚ,PIURA,1 FISCALIA PROVINCIAL PENAL CORPORATIVA DE PIURA,02606064501-2017-0004470000,2017-03-06,DERIVADO (CALIFICA),ABUSO DE AUTORIDAD
296,"TITO ORTEGA, ERWIN",FUERZA POPULAR,JUNÍN,4 FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUANCAYO,02206014504-2015-0005940000,2017-03-06,CON ACUSACION,HOMICIDIO CULPOSO (INOBSERVANCIA A LAS REGLAS DE PROFESION
297,"ACUÑA PERALTA, HUMBERTO",APP,LAMBAYEQUE,2 FISCALIA PROVINCIAL PENAL CORPORATIVA DE CHICLAYO,02406074502-2017-0008160000,2017-03-03,CON INVESTIGACION PRELIMINAR,"CONTRA LA PROPIEDAD INDUSTRIAL (ALMACENAMIENTO, FABRICACION, UTILIZ CON FIN COMERC, OFERT Y DISTRIB VENTA IMP O EXP EN TODO O PARTE OBTENCION)"
298,"RIVERA GUERRA, WALTER JESÚS",ACCIÓN POPULAR,LIMA,FISCALIA PROVINCIAL CIVIL Y FAMILIA DE CHOSICA,00506010755-2016-0002840000,2017-02-28,ARCHIVO DEFINITIVO,CONTRAVENCION
299,"BARRIONUEVO ROMERO, BETTO",SOMOS PERÚ,ANCASH,FISCALIA PROVINCIAL ESPECIALIZADA EN PREVENCION DEL DELITO DE ANCASH ,01306014900-2016-0006070000,2017-02-23,DERIVADO PENAL,USURPACION
300,"BENAVIDES GAVIDIA, WALTER",APP,CAJAMARCA,FISCALIA SUPERIOR MIXTA DE JAEN,02406024501-2014-0004480001,2017-02-23,CONSULTA RESUELTA,CONCUSION (COLUSION ILEGAL)
301,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,2 FISCALIA PROVINCIAL PENAL CORPORATIVA DE MAYNAS ,02506014502-2016-0011920000,2017-02-17,CON INVESTIGACION PRELIMINAR,USURPACION
302,"ACUÑA PERALTA, HUMBERTO",APP,LAMBAYEQUE,3 FISCALIA PROVINCIAL PENAL CORPORATIVA DE CHICLAYO,02406074503-2016-0050080000,2017-02-13,CON ARCHIVO (CALIFICA),OMISION ACTOS FUNCIONALES-1ERPARRAFO - FUNCIONARIO PUBLICO QUE
303,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,4 FISCALIA SUPERIOR PENAL DE LORETO ,02506014504-2016-0003420001,2017-02-08,CONSULTA RESUELTA,ABUSO DE AUTORIDAD
304,"ACUÑA PERALTA, HUMBERTO",APP,LAMBAYEQUE,2 FISCALIA PROVINCIAL PENAL CORPORATIVA DE CHICLAYO,02406074502-2014-0018170000,2017-02-08,FORMALIZA INVESTIGACION PREPARATORIA,CONTRA LA PAZ PUBLICA (ASOCIACION ILICITA)
305,"LUNA MORALES, JOSÉ LUIS",PODEMOS,LIMA,55 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506010155-2017-0000430000,2017-01-31,INVESTIGACION POLICIAL,APROPIACION ILICITA COMUN
306,"VALDEZ FARÍAS, LUIS ALBERTO",APP,LA LIBERTAD,1 FISCALIA PROVINCIAL PENAL CORPORATIVA DE TRUJILLO,02306014501-2016-0029920002,2017-01-30,DERIVADO (PRELIMINAR),ELABORACION Y COMERCIO CLANDESTINO DE PRODUCTOS
307,"VALDEZ FARÍAS, LUIS ALBERTO",APP,LA LIBERTAD,1 FISCALIA PROVINCIAL PENAL CORPORATIVA DE TRUJILLO,02306014501-2016-0029920001,2017-01-30,DERIVADO (PRELIMINAR),ELABORACION Y COMERCIO CLANDESTINO DE PRODUCTOS
308,"VALDEZ FARÍAS, LUIS ALBERTO",APP,LA LIBERTAD,1 FISCALIA PROVINCIAL PENAL CORPORATIVA DE TRUJILLO,02306014501-2016-0029920000,2017-01-30,DERIVADO (PRELIMINAR),ELABORACION Y COMERCIO CLANDESTINO DE PRODUCTOS
309,"ACUÑA PERALTA, HUMBERTO",APP,LAMBAYEQUE,FISCALIA PROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS DE LAMBAYEQUE,02406075500-2015-0000250000,2017-01-25,CON ACUSACION,DELITO CONTRA LA ADMINISTRACION PUBLICA
310,"RODAS MALCA, TANIA ROSALIA",APP,LA LIBERTAD,3 FISCALIA SUPERIOR PENAL DE LA LIBERTAD,02306014502-2010-0037240003,2017-01-24,AUDIENCIA DE APELACION,LESIONES (CULPOSAS)
311,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,4 FISCALIA PROVINCIAL PENAL CORPORATIVA DE MAYNAS ,02506014504-2016-0003420000,2017-01-24,DENUNCIA PENDIENTE,ABUSO DE AUTORIDAD
312,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,3 FISCALIA PROVINCIAL MIXTA DE PUENTE PIEDRA,00606020616-2016-0012580000,2017-01-20,INVESTIGACION POLICIAL,CONTRA LA PAZ PUBLICA (ASOCIACION ILICITA)
313,"NÚÑEZ SALAS, JOSÉ ANTONIO",MORADO,AREQUIPA,FISCALIA PROVINCIAL PENAL CORPORATIVA DE TACNA,02906014500-2016-0054790000,2017-01-20,CON ARCHIVO (PRELIMINAR),FALSIFICACION DE DOCUMENTOS EN GENERAL
314,"RODAS MALCA, TANIA ROSALIA",APP,LA LIBERTAD,3 FISCALIA SUPERIOR PENAL DE LA LIBERTAD,02306014502-2010-0037240002,2017-01-17,AUDIENCIA DE APELACION,LESIONES (CULPOSAS)
315,"VALDEZ FARÍAS, LUIS ALBERTO",APP,LA LIBERTAD,1 FISCALIA PROVINCIAL PENAL CORPORATIVA DE TRUJILLO,02306014501-2016-0059810000,2017-01-17,DERIVADO (PRELIMINAR),DEFRAUDACION (SE VENDE O GRAVA)
316,"PANTOJA CALVO, RUBEN",UPP,CUSCO,FISCALIA PROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS-ABANCAY,01406015500-2011-0003290005,2017-01-16,CON SOBRESEIMIENTO (JUZGAMIENTO),PECULADO (APROPOUTILIZACDECAUDALES)
317,"PANTOJA CALVO, RUBEN",UPP,CUSCO,FISCALIA PROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS-ABANCAY,01406015500-2011-0003290000,2017-01-16,CON SENTENCIA,PECULADO (APROPOUTILIZACDECAUDALES)
